id,fold_0,initial_0,final_0,fold_1,initial_1,final_1,fold_2,initial_2,final_2,fold_3,initial_3,final_3,fold_4,initial_4,final_4,toxic_pred
0,train,0.17149457,0.26096493,train,0.25777072,0.23748827,valid,0.24729107,0.1907337,train,0.062425315,0.0925563,train,0.18921831,0.19540222,0.19542909
1,train,0.060422916,0.055597,train,0.04885193,0.06541654,valid,0.12942053,0.07596609,train,0.06205208,0.07147611,train,0.1589612,0.10313864,0.07431887
2,train,0.04120617,0.108679816,train,0.13245878,0.11543755,train,0.2501262,0.11300528,valid,0.034901552,0.062257297,train,0.067654274,0.052145593,0.090305105
3,valid,0.062479593,0.11104235,train,0.077526525,0.21346827,train,0.07302185,0.0828295,train,0.046027903,0.05952004,train,0.16264677,0.11726699,0.11682544
4,train,0.052728105,0.086445086,train,0.07888467,0.07013068,valid,0.042899817,0.051757567,train,0.055929482,0.075895615,train,0.10069162,0.07133996,0.07111378
5,train,0.2642864,0.34163684,train,0.21555836,0.43081123,valid,0.2143966,0.29528436,train,0.36865115,0.3532578,train,0.35841012,0.3126704,0.34673214
6,train,0.0517948,0.08634301,train,0.0374856,0.018381614,valid,0.04130781,0.023421468,train,0.0353572,0.05128975,train,0.09616814,0.07428014,0.0507432
7,train,0.025459161,0.046088256,train,0.06706422,0.111078024,train,0.08677395,0.07930002,train,0.022025993,0.028587162,valid,0.06452197,0.055926297,0.064195946
8,train,0.031140303,0.12108363,valid,0.097735286,0.15738845,train,0.06045207,0.08222165,train,0.07594522,0.08911676,train,0.20521677,0.16192396,0.12234689
9,train,0.039846554,0.07884478,valid,0.03461013,0.029931804,train,0.118900456,0.056173097,train,0.0331767,0.04969559,train,0.010999359,0.014045159,0.045738086
10,train,0.10046131,0.0893225,train,0.049182944,0.052141517,valid,0.08898546,0.06262526,train,0.08048147,0.090605415,train,0.1595492,0.117054075,0.082349755
11,train,0.08341401,0.12492691,train,0.070526704,0.07459905,train,0.01976646,0.03194206,valid,0.05602148,0.05764202,train,0.09656282,0.062339406,0.07028989
12,valid,0.06327224,0.18899038,train,0.13602139,0.11673464,train,0.18278326,0.11357434,train,0.034328192,0.065804005,train,0.10889363,0.08466718,0.11395411
13,train,0.11743011,0.2100688,valid,0.074044906,0.18158533,train,0.085263036,0.10806995,train,0.06432846,0.10682294,train,0.18953735,0.16650851,0.1546111
14,train,0.010895429,0.017632985,valid,0.048616312,0.026407933,train,0.057559345,0.03081008,train,0.021816108,0.041670788,train,0.038854096,0.038595933,0.031023543
15,train,0.0076985573,0.013666434,train,0.014999919,0.08968694,valid,0.03086065,0.038912993,train,0.04310383,0.05194792,train,0.026007289,0.02522666,0.04388819
16,train,0.36891618,0.38130307,train,0.35166344,0.5396744,train,0.33934167,0.20749073,valid,0.1733426,0.1663789,train,0.4765083,0.36052006,0.33107343
17,valid,0.5205559,0.62461036,train,0.6466814,0.69316435,train,0.65001845,0.6367524,train,0.52477324,0.5266473,train,0.612895,0.63351876,0.62293863
18,train,0.017126862,0.035529174,train,0.035137143,0.027015936,valid,0.10960643,0.04714734,train,0.014785894,0.026583118,train,0.023392808,0.026617527,0.032578617
19,train,0.24161887,0.23086768,valid,0.10837927,0.1113048,train,0.40014634,0.2885544,train,0.15439546,0.16582802,train,0.13349228,0.1303081,0.1853726
20,valid,0.09032608,0.08287701,train,0.22808117,0.19714297,train,0.062416047,0.042814456,train,0.15240093,0.12651266,train,0.098637186,0.06219132,0.10230769
21,train,0.10472683,0.18484919,train,0.19957323,0.19502951,valid,0.08957809,0.05042344,train,0.19127314,0.25854543,train,0.30493996,0.24667618,0.18710475
22,train,0.025402855,0.023471836,train,0.084419295,0.070076734,valid,0.12476352,0.061255317,train,0.07396651,0.094195746,train,0.0565367,0.04537353,0.05887463
23,train,0.07266453,0.11407951,train,0.09214222,0.08351879,valid,0.23106523,0.16388547,train,0.0510216,0.08049693,train,0.07794713,0.08059255,0.10451466
24,train,0.76925564,0.7953902,valid,0.65009695,0.6744982,train,0.7419807,0.6975595,train,0.6738144,0.6351627,train,0.5512184,0.5847839,0.67747897
25,train,0.18381067,0.2578026,train,0.24325828,0.37871635,train,0.34785512,0.28586403,train,0.10258003,0.17578994,valid,0.24438888,0.17068101,0.25377077
26,train,0.009264192,0.018477669,valid,0.04636878,0.07068851,train,0.08151852,0.078214936,train,0.041909505,0.03930661,train,0.08486372,0.06939265,0.055216074
27,valid,0.025702547,0.051740237,train,0.09524192,0.038161077,train,0.06236001,0.047734275,train,0.02764576,0.04619721,train,0.050017748,0.065033846,0.049773328
28,valid,0.058267754,0.085212216,train,0.028746208,0.02295132,train,0.03360772,0.036401622,train,0.032762326,0.054737363,train,0.009478315,0.015961923,0.04305289
29,train,0.025328038,0.044247877,train,0.16736819,0.08509977,train,0.03115189,0.0133904675,train,0.032356344,0.059609205,valid,0.05532922,0.05751937,0.051973335
30,train,0.09108633,0.19660866,train,0.13641098,0.33609012,valid,0.40180382,0.35805827,train,0.15374221,0.1509611,train,0.28567374,0.15951394,0.24024642
31,train,0.007889808,0.017127577,train,0.021170992,0.044357702,train,0.0047693616,0.006218619,train,0.0380589,0.030041236,valid,0.019848304,0.012731282,0.022095283
32,train,0.04048591,0.09103392,train,0.16251211,0.108072266,train,0.14728023,0.1009396,train,0.041372016,0.07087546,valid,0.1666439,0.13650724,0.10148571
33,train,0.28654546,0.35577753,train,0.12090607,0.41092625,train,0.17194653,0.24176034,train,0.29724768,0.38744769,valid,0.16914383,0.15478535,0.31013945
34,train,0.17772,0.27817464,train,0.30487874,0.22705926,valid,0.551933,0.5918881,train,0.32615173,0.26768145,train,0.39859477,0.41771472,0.35650364
35,train,0.4927491,0.44499534,train,0.34762445,0.4653111,valid,0.43520153,0.2572594,train,0.3754256,0.33402762,train,0.42913556,0.3048482,0.36128834
36,train,0.058187008,0.12249923,train,0.19806817,0.17773096,train,0.14874092,0.12004273,valid,0.09735291,0.16570166,train,0.20971738,0.16470377,0.15013567
37,train,0.015319159,0.019952752,train,0.021718625,0.03043228,valid,0.039853808,0.03543758,train,0.03278606,0.034065686,train,0.028711291,0.026782889,0.029334238
38,train,0.043496057,0.06497437,train,0.18998435,0.12021666,valid,0.043566372,0.032497417,train,0.030838316,0.045166746,train,0.058063466,0.061925758,0.064956196
39,train,0.12931255,0.32460523,train,0.4523185,0.4711275,train,0.30971014,0.2771012,train,0.1923269,0.358879,valid,0.25395265,0.30893838,0.34813026
40,train,0.2188018,0.24118857,train,0.20019397,0.41359353,valid,0.46331623,0.3674218,train,0.08010062,0.10383354,train,0.17352833,0.14668591,0.25454468
41,train,0.10007964,0.23031281,train,0.22001877,0.12833536,train,0.09331575,0.0757901,valid,0.05866349,0.10525501,train,0.10177094,0.119638436,0.13186635
42,train,0.10942042,0.09540155,train,0.11583777,0.084879264,train,0.07804969,0.052463878,valid,0.06703246,0.0911343,train,0.20051673,0.122855574,0.08934691
43,valid,0.0052360967,0.012727357,train,0.015510664,0.028270256,train,0.009329573,0.011702298,train,0.0131571945,0.021243857,train,0.031336267,0.018047068,0.01839817
44,train,0.2751457,0.24321641,train,0.29627046,0.28434318,valid,0.19596174,0.181206,train,0.12485955,0.15458326,train,0.35712305,0.33917156,0.24050407
45,train,0.07529384,0.16813819,train,0.16285768,0.13667455,valid,0.14994614,0.1002439,train,0.063165,0.113202944,train,0.09146708,0.09510192,0.1226723
46,valid,0.13306196,0.14510845,train,0.07066668,0.16205709,train,0.09992354,0.065376155,train,0.0574484,0.062410053,train,0.09587918,0.08596669,0.10418369
47,train,0.00666475,0.013380808,train,0.03065315,0.056759093,train,0.041191574,0.044873457,train,0.019085497,0.022269677,valid,0.026976649,0.018993713,0.031255353
48,valid,0.0875432,0.2071686,train,0.13791616,0.30483204,train,0.18773337,0.20642692,train,0.090348646,0.09457602,train,0.26343757,0.20845315,0.20429134
49,train,0.71679634,0.78328454,train,0.61148506,0.6875085,train,0.7164567,0.6955328,train,0.53878754,0.6500602,valid,0.5525133,0.57179433,0.677636
50,train,0.016949726,0.054498155,valid,0.05006223,0.06302854,train,0.06192965,0.074747086,train,0.042076137,0.054935634,train,0.025019106,0.018344097,0.0531107
51,train,0.26258788,0.37126324,train,0.24885236,0.17027561,train,0.12867936,0.11184617,train,0.10352811,0.15536676,valid,0.37909314,0.30261135,0.22227263
52,train,0.044166237,0.10358276,train,0.1275931,0.12751871,valid,0.014750689,0.030036902,train,0.043943677,0.061670523,train,0.024758741,0.025732877,0.069708355
53,valid,0.063423395,0.14973524,train,0.18458442,0.28468567,train,0.4382174,0.452087,train,0.098895155,0.09522343,train,0.4548739,0.29543725,0.2554337
54,train,0.005957795,0.014608631,train,0.008921311,0.01883251,train,0.051759355,0.054691512,train,0.02050113,0.029546788,valid,0.01976571,0.018540211,0.02724393
55,train,0.018760901,0.044064213,train,0.15200701,0.131476,train,0.10383703,0.053811006,train,0.04522291,0.083173506,valid,0.16171397,0.12559462,0.08762387
56,train,0.027482336,0.053673647,valid,0.031598043,0.061487257,train,0.041769955,0.057343688,train,0.021689197,0.029302945,train,0.0432063,0.049360186,0.050233543
